DAY ID MONTHLY_REVENUE VAT_PAYMENT EBT MONTHLY_WAGE_PAYMENT TOTAL_FINANCIAL_PAYMENT PHYSICAL_CAPITAL_DEPRECIATION_COST DIVIDEND_PAYMENT CAPITAL_TAX_PAYMENT NET_EARNINGS
 20 18 0.000000 55.555556 9.500000 140.000000 0.000000 34.722222 38.000000 0.950000 8.550000
 20 17 0.000000 55.555556 9.500000 140.000000 0.000000 34.722222 38.000000 0.950000 8.550000
 20 9 246.012037 24.000000 -218.722222 280.000000 0.000000 34.722222 -0.000000 0.000000 -218.722222
 20 10 255.358014 16.432222 -248.993333 280.000000 0.000000 34.722222 -0.000000 0.000000 -248.993333
 20 2 309.103889 44.832538 -125.392069 270.000000 0.000000 34.722222 -0.000000 0.000000 -125.392069
 20 1 322.796907 39.364444 -147.264444 270.000000 0.000000 34.722222 -0.000000 0.000000 -147.264444
 20 16 292.621577 55.555556 -92.500000 280.000000 0.000000 34.722222 -0.000000 0.000000 -92.500000
 20 15 292.621576 55.555556 -92.500000 280.000000 0.000000 34.722222 -0.000000 0.000000 -92.500000
 20 8 292.621576 55.555556 -92.500000 280.000000 0.000000 34.722222 -0.000000 0.000000 -92.500000
 20 7 292.621575 55.555556 -92.500000 280.000000 0.000000 34.722222 -0.000000 0.000000 -92.500000
 20 14 292.621574 55.555556 -92.500000 280.000000 0.000000 34.722222 -0.000000 0.000000 -92.500000
 20 13 292.621575 55.555556 -92.500000 280.000000 0.000000 34.722222 -0.000000 0.000000 -92.500000
 20 6 292.621576 55.555556 -92.500000 280.000000 0.000000 34.722222 -0.000000 0.000000 -92.500000
 20 5 292.621576 55.555556 -92.500000 280.000000 0.000000 34.722222 -0.000000 0.000000 -92.500000
 20 12 267.121783 55.555556 -92.500000 280.000000 0.000000 34.722222 -0.000000 0.000000 -92.500000
 20 11 286.485292 55.555556 -92.500000 280.000000 0.000000 34.722222 -0.000000 0.000000 -92.500000
 20 4 126.533828 55.555556 -82.500000 270.000000 0.000000 34.722222 -0.000000 0.000000 -82.500000
 20 3 126.146168 55.555556 -82.500000 270.000000 0.000000 34.722222 -0.000000 0.000000 -82.500000
 40 17 0.000000 31.477333 -48.812889 140.000000 0.000000 34.722222 -0.000000 0.000000 -48.812889
 40 18 0.000000 31.477333 -48.812889 140.000000 0.000000 34.722222 -0.000000 0.000000 -48.812889
 40 10 157.109935 51.071603 5.912838 140.000000 0.000000 34.722222 23.651351 0.591284 5.321554
 40 9 169.772671 49.202407 2.417481 150.000000 0.000000 34.722222 9.669926 0.241748 2.175733
 40 1 309.250176 64.559381 -46.484696 270.000000 0.000000 34.722222 -0.000000 0.000000 -46.484696
 40 2 317.431088 61.820778 -57.439111 270.000000 0.000000 34.722222 -0.000000 0.000000 -57.439111
 40 15 355.036216 58.524315 -81.783915 280.000000 1.158954 34.722222 -0.000000 0.000000 -81.783915
 40 16 291.339745 58.524315 -81.783915 280.000000 1.158955 34.722222 -0.000000 0.000000 -81.783915
 40 7 355.036213 58.524315 -81.783914 280.000000 1.158951 34.722222 -0.000000 0.000000 -81.783914
 40 8 355.036216 58.524315 -81.783915 280.000000 1.158954 34.722222 -0.000000 0.000000 -81.783915
 40 13 355.036214 58.524315 -81.783914 280.000000 1.158952 34.722222 -0.000000 0.000000 -81.783914
 40 14 355.036213 58.524315 -81.783914 280.000000 1.158951 34.722222 -0.000000 0.000000 -81.783914
 40 5 201.774057 58.524315 -81.783915 280.000000 1.158954 34.722222 -0.000000 0.000000 -81.783915
 40 6 164.492633 58.524315 -81.783915 280.000000 1.158954 34.722222 -0.000000 0.000000 -81.783915
 40 11 306.926646 58.524315 -81.783914 280.000000 1.158951 34.722222 -0.000000 0.000000 -81.783914
 40 12 74.660651 58.524315 -81.783915 280.000000 1.158954 34.722222 -0.000000 0.000000 -81.783915
 40 3 62.699701 56.548241 -79.270985 270.000000 0.741728 34.722222 -0.000000 0.000000 -79.270985
 40 4 8.030806 56.548241 -79.270985 270.000000 0.741728 34.722222 -0.000000 0.000000 -79.270985
 60 18 0.000000 19.240325 -97.760923 140.000000 0.000000 34.722222 -0.000000 0.000000 -97.760923
 60 17 0.000000 26.083732 -70.387296 140.000000 0.000000 34.722222 -0.000000 0.000000 -70.387296
 60 9 70.340173 33.954534 -53.604423 150.000000 4.700337 34.722222 -0.000000 0.000000 -53.604423
 60 10 29.232744 31.421987 -54.145074 140.000000 5.110800 34.722222 -0.000000 0.000000 -54.145074
 60 2 360.096737 63.486218 -50.777352 270.000000 0.000000 34.722222 -0.000000 0.000000 -50.777352
 60 1 356.334955 61.850035 -57.830403 270.000000 0.508322 34.722222 -0.000000 0.000000 -57.830403
 60 16 92.120593 71.007243 -31.852204 280.000000 1.158955 34.722222 -0.000000 0.000000 -31.852204
 60 15 154.259098 71.007243 -31.852204 280.000000 1.158954 34.722222 -0.000000 0.000000 -31.852204
 60 8 180.889062 71.007243 -31.852204 280.000000 1.158954 34.722222 -0.000000 0.000000 -31.852204
 60 7 303.158461 71.007243 -31.852203 280.000000 1.158951 34.722222 -0.000000 0.000000 -31.852203
 60 14 377.221761 71.007243 -31.852203 280.000000 1.158951 34.722222 -0.000000 0.000000 -31.852203
 60 13 270.268365 71.007243 -31.852203 280.000000 1.158952 34.722222 -0.000000 0.000000 -31.852203
 60 6 46.566888 71.007243 -31.852204 280.000000 1.158954 34.722222 -0.000000 0.000000 -31.852204
 60 5 61.127376 71.007243 -31.852204 280.000000 1.158954 34.722222 -0.000000 0.000000 -31.852204
 60 12 26.169902 71.007243 -31.852204 280.000000 1.158954 34.722222 -0.000000 0.000000 -31.852204
 60 11 178.636293 71.007243 -31.852203 280.000000 1.158951 34.722222 -0.000000 0.000000 -31.852203
 60 4 10.075685 68.642486 -30.894008 270.000000 0.741728 34.722222 -0.000000 0.000000 -30.894008
 60 3 0.000000 68.642486 -30.894008 270.000000 0.741728 34.722222 -0.000000 0.000000 -30.894008
 80 17 0.000000 1.889064 -167.165965 140.000000 0.000000 34.722222 -0.000000 0.000000 -167.165965
 80 18 0.000000 1.090135 -170.361681 140.000000 0.000000 34.722222 -0.000000 0.000000 -170.361681
 80 10 0.000000 5.846549 -156.446827 140.000000 5.110800 34.722222 -0.000000 0.000000 -156.446827
 80 9 0.000000 14.068035 -133.150421 150.000000 4.700337 34.722222 -0.000000 0.000000 -133.150421
 80 1 379.916582 71.266991 -20.162580 270.000000 0.508322 34.722222 -0.000000 0.000000 -20.162580
 80 2 299.640648 72.019347 -16.644833 270.000000 0.000000 34.722222 -0.000000 0.000000 -16.644833
 80 16 38.440252 25.708569 -213.046900 280.000000 1.158955 34.722222 -0.000000 0.000000 -213.046900
 80 15 26.868525 48.051265 -123.676118 280.000000 1.158954 34.722222 -0.000000 0.000000 -123.676118
 80 7 188.106837 77.259109 -6.844738 280.000000 1.158951 34.722222 -0.000000 0.000000 -6.844738
 80 8 57.626340 69.886299 -36.335979 280.000000 1.158954 34.722222 -0.000000 0.000000 -36.335979
 80 13 115.138828 77.259109 -6.844738 280.000000 1.158952 34.722222 -0.000000 0.000000 -6.844738
 80 14 151.765498 77.259109 -6.844738 280.000000 1.158951 34.722222 -0.000000 0.000000 -6.844738
 80 5 73.990335 77.259110 -6.844738 280.000000 1.158954 34.722222 -0.000000 0.000000 -6.844738
 80 6 57.159566 75.956160 -12.056538 280.000000 1.158954 34.722222 -0.000000 0.000000 -12.056538
 80 11 139.740632 77.259109 -6.844738 280.000000 1.158951 34.722222 -0.000000 0.000000 -6.844738
 80 12 17.178005 77.259110 -6.844738 280.000000 1.158954 34.722222 -0.000000 0.000000 -6.844738
 80 3 23.348286 68.875620 -29.961472 270.000000 0.741728 34.722222 -0.000000 0.000000 -29.961472
 80 4 0.000000 68.373376 -31.970447 270.000000 0.741728 34.722222 -0.000000 0.000000 -31.970447
 100 17 0.000000 4.996450 -114.736424 100.000000 0.000000 34.722222 -0.000000 0.000000 -114.736424
 100 18 0.000000 0.828703 -101.407412 70.000000 0.000000 34.722222 -0.000000 0.000000 -101.407412
 100 9 0.000000 0.000000 -189.422559 150.000000 4.700337 34.722222 0.000000 0.000000 -189.422559
 100 10 0.000000 0.000000 -179.833022 140.000000 5.110800 34.722222 0.000000 0.000000 -179.833022
 100 2 174.497190 75.851974 -1.314325 270.000000 0.000000 34.722222 -0.000000 0.000000 -1.314325
 100 1 255.559949 75.983316 -1.297278 270.000000 0.508322 34.722222 -0.000000 0.000000 -1.297278
 100 15 491.894142 9.701073 -267.076884 270.000000 1.158954 34.722222 0.000000 0.000000 -267.076884
 100 16 58.508515 7.688050 -165.128975 160.000000 1.158955 34.722222 0.000000 0.000000 -165.128975
