 DAY ID NOMINAL_MONTHLY_GDP REAL_MONTHLY_GDP PRICE_LEVEL PRICE_GROWTH AVERAGE_WAGE UNEMPLOYMENT_RATE num_of_bankruptcies agregate_capital_stock agregate_inventory_stock agregate_production AGGREGATE_VALUE_AT_RISK monthly_investments physical_capital_price real_monthly_investments
 20 523 8792.565437 7304.613150 1.016975 0.020000 8.938500 0.000000 0 5000.000000 197.386850 2502.000000 173.225171 0.000000 3.030000 0.000000
 40 523 4497.881007 2228.509710 1.101836 0.020000 8.938500 0.000000 0 5000.000000 638.877140 2670.000000 665.035441 0.000000 3.090600 0.000000
 60 523 4094.800070 1843.043314 1.203650 0.020000 8.938500 0.000000 0 5000.000000 1465.833825 2670.000000 1368.988776 0.000000 3.152412 0.000000
 80 523 3985.352564 1710.133485 1.314519 0.020000 8.687600 0.000000 0 5000.000000 2347.700341 2592.000000 2011.190880 0.000000 3.215460 0.000000
 100 523 4098.704957 1705.107493 1.431501 0.020000 7.394500 0.000000 0 5000.000000 2700.592847 2058.000000 2759.706102 0.000000 3.279769 0.000000
 120 523 4106.373536 1676.136620 1.552326 0.020000 6.236500 0.000000 0 5000.000000 2698.456227 1674.000000 3707.396734 0.000000 3.345365 0.000000
 140 523 4073.699528 1641.149085 1.675845 0.020000 5.271500 0.000000 0 5000.000000 2521.307142 1464.000000 4856.929342 0.000000 3.412272 0.000000
 160 523 3762.619729 1500.299494 1.801504 0.020000 5.039900 0.000000 0 5000.000000 2395.007647 1374.000000 6615.217825 0.000000 3.480518 0.000000
 180 523 3588.179200 1413.162283 1.929764 0.020000 4.711800 0.000000 0 5000.000000 2283.845364 1302.000000 8035.162273 0.000000 3.550128 0.000000
 200 523 3409.112848 1335.420564 2.059167 0.020000 4.383700 0.000000 0 5000.000000 2166.424800 1218.000000 9655.802598 0.000000 3.621130 0.000000
 220 523 3222.973124 1245.467315 2.191480 0.020000 4.132800 0.000000 0 5000.000000 2060.957485 1140.000000 11231.628696 0.000000 3.693553 0.000000
 240 523 3053.317663 1175.185244 2.324660 1.285858 3.978400 0.000000 0 5000.000000 2013.772240 1128.000000 12769.178785 0.000000 3.767424 0.000000
 260 523 2887.656306 1114.328939 2.440301 1.214758 3.727500 0.000000 0 5000.000000 1901.443301 1002.000000 14332.307404 0.000000 6.227284 0.000000
 280 523 2722.373182 1031.907035 2.491956 1.070333 3.476600 0.000000 0 5000.000000 1787.536267 918.000000 15804.255665 0.000000 10.071878 0.000000
 300 523 2513.277374 943.890576 2.528699 0.923668 3.206400 0.000000 0 5000.000000 1665.645690 822.000000 17093.918354 0.000000 15.562730 0.000000
 320 523 2271.669779 859.294731 2.554800 0.784700 3.032700 0.000000 0 5000.000000 1568.350959 762.000000 18351.982097 0.000000 22.905758 0.000000
 340 523 2105.768581 782.357891 2.578782 0.661237 2.801100 0.000000 0 5000.000000 1481.993068 696.000000 19562.480480 0.000000 32.121891 0.000000
 360 523 1891.898783 703.814393 2.598629 0.550638 2.646700 0.000000 0 5000.000000 1432.178675 654.000000 20712.039797 0.000000 43.063205 0.000000
 380 523 1771.387060 651.790370 2.618254 0.453371 2.395800 0.000000 0 5000.000000 1368.388305 588.000000 21812.329721 0.000000 55.349956 0.000000
 400 523 1654.233671 606.855970 2.636420 0.366188 2.260700 0.000000 0 5000.000000 1283.532335 522.000000 22844.866038 0.000000 68.450487 0.000000
 420 523 1561.355632 562.918947 2.655967 0.289826 2.087000 0.000000 0 5000.000000 1194.613388 474.000000 23809.246045 0.000000 81.667869 0.000000
 440 523 1450.848915 508.307654 2.681087 0.223414 1.971200 0.000000 0 5000.000000 1106.305734 420.000000 24828.471104 0.000000 94.319289 0.000000
 460 523 1358.588853 468.454123 2.707119 0.164523 1.797500 0.000000 0 5000.000000 1027.851611 390.000000 25677.403482 0.000000 105.798585 0.000000
 480 523 1260.812665 428.035864 2.736071 0.121202 1.758900 0.000000 0 4444.444444 977.815747 378.000000 26397.296132 0.000000 115.559700 0.000000
 500 523 756.874326 254.314072 2.768134 0.110828 1.179900 0.000000 0 0.000000 723.501675 nan 26592.235225 0.000000 123.718352 0.000000
 520 523 506.604977 160.818576 2.810798 0.111559 0.929000 0.000000 0 6.000000 562.683099 nan 25826.005300 790.867521 131.811253 6.000000
 540 523 762.713166 206.595521 2.896560 0.133772 0.774600 0.000000 1 6.000000 362.087579 nan 26451.102118 0.000000 140.481725 0.000000
 560 523 519.337879 121.501866 3.032449 0.175923 0.697400 0.000000 1 18.000000 246.585713 nan 24487.251904 1815.393278 151.282773 12.000000
 580 523 1091.140292 210.208665 3.240714 0.247086 0.678100 0.000000 1 18.000000 54.377047 nan 25357.910209 0.000000 166.102661 0.000000
 600 523 450.202329 71.372395 3.542358 0.352947 0.658800 0.000000 2 18.000000 1.004653 nan 25422.046550 0.000000 188.284530 0.000000
 620 523 179.676680 19.004653 4.103744 0.556559 0.620200 0.000000 4 18.000000 -0.000000 nan 25638.395123 0.000000 223.394589 0.000000
 640 523 172.144315 17.494498 4.696578 0.768312 0.620200 0.000000 4 18.000000 0.505502 nan 25816.577009 0.000000 287.794681 0.000000
